ELEMENT_ID,TYPE,COLOR,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0,curve,,164,274,105,274,97,329,97,329
0,curve,,97,329,71,370,102,391,164,389
0,curve,,164,389,275,392,229,323,229,323
0,curve,,229,323,229,323,223,274,164,274
8,curve,,98,375,95,351,127,357,127,357
8,line,,127,357,164,366
8,line,,164,366,202,357
8,curve,,202,357,236,351,229,375,229,375
9,polygon,#441f14,160,364,164,368,169,364
10,curve,,130,356,130,356,131,347,136,347
10,curve,,136,347,142,347,142,356,142,356
10,curve,,142,356,142,356,142,364,136,364
10,curve,,136,364,130,364,130,356,130,356
11,line,,194,350,185,357
11,line,,185,357,196,359
12,curve,,133,330,130,328,132,328,135,328
12,curve,,135,328,138,328,139,330,139,330
12,curve,,139,330,143,330,145,332,145,332
12,curve,,145,332,148,336,144,338,144,338
12,curve,,144,338,141,340,134,337,134,337
12,curve,,134,337,125,334,126,331,126,331
12,curve,,126,331,128,326,133,330,133,330
13,curve,,195,330,198,328,197,328,194,328
13,curve,,194,328,191,328,189,330,189,330
13,curve,,189,330,185,330,183,332,183,332
13,curve,,183,332,180,336,185,338,185,338
13,curve,,185,338,188,340,195,337,195,337
13,curve,,195,337,204,334,203,331,203,331
13,curve,,203,331,201,326,195,330,195,330
14,curve,,111,296,105,275,84,273,84,273
14,curve,,84,273,105,260,138,277,138,277
15,curve,,84,273,78,301,106,306,106,306
16,curve,,218,296,224,275,245,273,245,273
16,curve,,245,273,224,260,191,277,191,277
17,curve,,245,273,251,301,223,306,223,306
18,curve,,126,246,117,224,102,238,102,238
18,curve,,102,238,89,254,110,267,110,267
18,curve,,110,267,122,271,131,284,131,284
18,curve,,131,284,141,297,151,289,151,289
18,curve,,151,289,157,281,140,266,140,266
18,curve,,140,266,134,262,135,251,135,251
18,curve,,135,251,134,245,132,244,132,244
18,curve,,132,244,127,241,126,246,126,246
19,curve,,203,246,212,224,227,238,227,238
19,curve,,227,238,240,254,218,267,218,267
19,curve,,218,267,206,271,198,284,198,284
19,curve,,198,284,188,297,178,289,178,289
19,curve,,178,289,172,281,188,266,188,266
19,curve,,188,266,194,262,193,251,193,251
19,curve,,193,251,194,245,196,244,196,244
19,curve,,196,244,201,241,203,246,203,246
