TYPE,X1,Y1,X2,Y2
line,164,385,164,452
line,164,452,435,452
line,164,385,202,385
line,232,385,367,385
line,399,385,435,385
line,435,385,435,452
line,164,445,435,445
line,164,395,435,395

line,208,414,213,414
line,213,414,213,419
line,213,419,223,419
line,223,419,223,414
line,223,414,228,414
line,228,414,228,428
line,228,428,223,428
line,223,428,223,423
line,223,423,213,423
line,213,423,213,428
line,213,428,208,428
line,208,414,208,428

line,242,413,257,421
line,257,421,257,413
line,257,413,262,413
line,262,413,262,429
line,262,429,248,421
line,248,421,248,428
line,248,428,242,428
line,242,428,242,413

line,275,416,278,413
line,278,413,286,420
line,286,420,294,413
line,294,413,297,416
line,297,416,289,423
line,289,423,289,428
line,289,428,283,428
line,283,428,283,422
line,283,422,275,416

line,309,415,311,418
curve,309,415,321,413,326,415,326,415
curve,326,415,327,420,319,423,315,424
line,315,424,327,424
line,327,424,327,428
line,327,428,309,428
curve,309,428,311,423,319,419,319,419
curve,319,419,321,417,311,418,311,418
line,311,418,309,415


line,385,412,388,415
line,388,415,378,422
line,378,422,383,422
line,383,422,383,419
line,383,419,388,419
line,388,419,388,422
line,388,422,391,422
line,391,422,391,425
line,391,425,388,425
line,388,425,388,428
line,388,428,383,428
line,383,428,383,425
line,383,425,374,425
line,374,425,372,421
line,372,421,385,412

