ELEMENT_ID,LAYER,NAME,COLOR_BOUND,COLOR_FILL,SEED_X,SEED_Y
0,0,head,#4a201a,#f66b53,165,340
1,48,sign,#4a201a,#f66b53,312,396
2,51,textH,#4a201a,#ffffff,210,421
3,52,textN,#4a201a,#ffffff,252,421
4,53,textY,#4a201a,#ffffff,286,425
5,49,male_left_hand,#4a201a,#f66b53,216,380
6,9,male_right_hand,#4a201a,#f66b53,125,439
7,6,male_body,#4a201a,#f66b53,160,470
8,5,male_white_cheek,#fbf4e0,#fbf4e0,116,375
9,45,male_nose
10,43,male_normal_eye,#4a201a,#4a201a,136,356
11,44,male_winked_eye,#4a201a
12,18,male_right_eye_brow,#4a201a,#fbf4e0,136,333
13,19,male_left_eye_brow,#4a201a,#fbf4e0,192,333
14,10,male_outer_right_ear,#4a201a,#f86a53,111,278
15,11,male_inner_right_ear,#4a201a,#943f30,97,289
16,12,male_outer_left_ear,#4a201a,#f86a53,218,278
17,13,male_inner_left_ear,#4a201a,#943f30,232,289
18,16,male_right_horn,#4a201a,#fbd86c,126,262
19,17,male_left_horn,#4a201a,#fbd86c,213,262
20,4,male_tail,#4a201a,#f66b53,76,420
21,3,male_inner_tail,#000000,#ffd875,29,376
22,7,male_marking,#fff1e3,#fff1e3,148,406
23,50,female_right_hand,#000000,#f66b53,384,376
24,29,female_left_hand,#000000,#f66b53,478,418
25,24,female_tail,#000000,#f66b53,522,412
26,23,female_inner_tail,#000000,#fcd66f,578,375
27,26,female_body,#000000,#f66b53,464,467
28,27,female_marking,#fff1e3,#fff1e3,451,403
29,1,male_light_shadow,#fdf3e3,#fdf3e3,77,494,
30,21,female_light_shadow,#fdf3e3,#fdf3e3,526,488
31,2,male_dark_shadow,#eddbbe,#eddbbe,154,491
32,22,female_dark_shadow,#eddbbe,#eddbbe,442,487
33,59,sign_shadow,#fdf3e3,#fdf3e3,300,490
34,54,text2,#4a201a,#ffffff,320,420
35,55,text0,#4a201a,#ffffff,340,426
36,56,inner_text_0,#000000,#f66b53,340,421
37,57,second_text_2,#4a201a,#ffffff,367,416
38,58,text4,#4a201a,#ffffff,385,425
39,60,star1
40,61,star2
41,62,star3
42,63,firework_1
43,64,firework_2
44,65,firework_3
45,66,firework_4
46,67,firework_5
47,68,firework_6
48,69,firework_7
49,70,firework_8
50,71,firework_9
51,72,firework_10
52,73,firework_11
53,74,star3_color_4,#000000,#3B00CA,543,222,527,225,531,243
54,75,fix_female_left_hand,#f66b53,#3400A4,
55,14,male_right_mane,#4a201a,#fbd86c,81,353
56,15,male_left_mane,#4a201a,#fbd86c,247,353
57,20,female_head,#4a201a,#f66b53,436,353
58,25,female_white_cheek,#fbf4e0,#fbf4e0,436,375
59,42,female_normal_eye,#4a201a,#4a201a,464,356
60,41,female_winked_eye,#4a201a
61,40,female_nose
62,38,female_left_eye_brow,#4a201a,#fbf4e0,464,333
63,39,female_right_eye_brow,#4a201a,#fbf4e0,407,333
64,32,female_outer_left_ear,#4a201a,#f86a53,488,278
65,33,female_inner_left_ear,#4a201a,#943f30,502,289
66,30,female_outer_right_ear,#4a201a,#f86a53,381,278
67,31,female_inner_right_ear,#4a201a,#943f30,369,289
68,36,female_left_horn,#4a201a,#fbd86c,475,262
69,37,female_right_horn,#4a201a,#fbd86c,396,262
70,34,female_left_mane,#4a201a,#fbd86c,519,353
71,35,female_right_mane,#4a201a,#fbd86c,351,353
72,46,male_right_pink_cheek,#fba798,#fba798,126,367
76,47,outer_sign,#4a201a,#fad86d,414,449
77,8,sign_left_handle,#4a201a,#fad86d,159,409
78,28,sign_right_handle,#4a201a,#fad86d,440,405
